Serial,Event,Code_County,County,Code_District,District,Code_Division,Division,Date_YMD,Cause,Description_of_Cause,Source,Magnitude,GLIDEnumber,Other_sectors,DataCards,Deaths,Injured,Missing,Houses_Destroyed,Houses_Damaged,Victims,Affected,Relocated,Evacuated,Losses_$USD,Losses_$Local,Education_centers,Hospitals,Damages_in_crops_Ha,Lost_Cattle,OBJECTID
Serial,Event,Code County,County,Code District,District,Code Division,Division,Date (YMD),Cause,Description of Cause,Source,Magnitude,GLIDEnumber,Other sectors,DataCards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle,0
889,TRAFFIC ACCIDENT,3,BUNGOMA,301,BUNGOMA EAST,30110,WEBUYE,04/02/2011 07:00:00 AM +0000,Error,PEDESTRIAN KNOCKED DOWN,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557
891,TRAFFIC ACCIDENT,14,KILIFI,1401,KILIFI,140107,KIKAMBALA,04/03/2011 07:00:00 AM +0000,Error,KNOCKED DOWN PEDESTRIAN,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558
887,TRAFFIC ACCIDENT,15,KIRINYAGA,1502,KIRINYAGA,150205,NDIA,06/13/2011 07:00:00 AM +0000,Error,Motor vehicle got tyre burst ,KPR,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,559
893,TRAFFIC ACCIDENT,26,MERU,2608,MERU CENTRAL,260814,TIMAU,04/04/2011 07:00:00 AM +0000,Error,TWO MOTOR CYCLES COLLIDED,KPR,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560
897,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,06/14/2011 07:00:00 AM +0000,Error,Pedestrian alighted while vehicle was moving he fell down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561
895,TRAFFIC ACCIDENT,17,KISUMU,1705,KISUMU,170503,MASENO,04/03/2011 07:00:00 AM +0000,Error,A PETROLEUM TUNKER COLLIDED WITH A MITSUBISHI LANCER,KPR,,,2 CARS,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562
898,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300104,KASARANI,06/14/2011 07:00:00 AM +0000,Error,Pedestrian was knocked down by a matatu,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563
899,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311013,NAKURU MUNICIPALITY,04/03/2011 07:00:00 AM +0000,Error,A MOTOR CYCLE HIT KNOCKED DOWN A PEDESTRIAN,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564
900,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300104,KASARANI,06/14/2011 07:00:00 AM +0000,Error,Pedestrian was knocked down by a car,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565
901,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311003,GILGIL,04/03/2011 07:00:00 AM +0000,Error,PEDESTRIAN KNOCKED DOWN,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566
902,TRAFFIC ACCIDENT,2,BOMET,202,BOMET,,,06/14/2011 07:00:00 AM +0000,Error,Juvenile pedestrian was knocked down by a car,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567
905,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,130701,GATANGA,04/04/2011 07:00:00 AM +0000,Error,KNOCKED DOWN PEDESTRIAN,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568
906,TRAFFIC ACCIDENT,28,MOMBASA,2805,MOMBASA,280502,ISLAND,04/04/2011 07:00:00 AM +0000,Error,MINI BUS COLLIDED WITH A SALOON CAR,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569
907,TRAFFIC ACCIDENT,22,MACHAKOS,2204,MACHAKOS,220406,MATUNGULU,04/05/2011 07:00:00 AM +0000,Error,MINI BUS COLLIDED WITH A MOTOR CYCLE,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570
909,TRAFFIC ACCIDENT,13,KIAMBU,1301,KIAMBU,130104,LARI,06/26/2011 07:00:00 AM +0000,Error,Matatu collided with another vehicle,KPR,,,Motor vehicles were damaged,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,571
